Start of new run - 12/14/11 17:16:21
width, voltage, fitness
138, 60, 0.94261786600496
138, 65, 0.91215805471125
138, 70, 0.88107612350963
138, 75, 0.84714548802947
138, 80, 0.82093238653906
138, 85, 0.79457605985037
138, 90, 0.77921677459143
138, 95, 0.75953616112298
142, 0, 0.57282442748092
142, 5, 0.77774323904259
142, 10, 0.87449518484001
142, 15, 0.99969325153374
142, 20, 0.99969834087481
142, 25, 0.99968944099379
142, 30, 0.99814528593509
142, 35, 0.99938442597722
142, 40, 0.99663505659223
142, 45, 0.99008674101611
142, 50, 0.98217030433446
142, 55, 0.96101127017971
142, 60, 0.93335390311632
142, 65, 0.89832089552239
142, 70, 0.87348461299347
142, 75, 0.83692971639951
142, 80, 0.81954656862745
142, 85, 0.80898876404494
142, 90, 0.78153846153846
142, 95, 0.75637041640771
146, 0, 0.59774436090226
146, 5, 0.77730711043873
146, 10, 0.88036809815951
146, 15, 0.99877638421536
146, 20, 0.9993842364532
146, 25, 0.99876045863031
146, 30, 0.9975445058318
146, 35, 0.9963358778626
146, 40, 0.99761122723201
146, 45, 0.98622167789345
146, 50, 0.97566984909147
146, 55, 0.95859776367483
146, 60, 0.93118279569892
146, 65, 0.9
146, 70, 0.85871833084948
146, 75, 0.85125229077581
146, 80, 0.815097799511
146, 85, 0.81694915254237
146, 90, 0.78835978835979
146, 95, 0.77072419106317
