Start of new run - 12/13/2011 11:49:38 AM
iterationVoltage no=1, best_conf_fitness=0.66056338028169 ,e1=104 ,e2=16 ,e3=9
iterationVoltage no=2, best_conf_fitness=0.75495750708215 ,e1=167.9 ,e2=0 ,e3=7.2
iterationVoltage no=3, best_conf_fitness=0.82734806629834 ,e1=200 ,e2=0 ,e3=5.58
iterationVoltage no=4, best_conf_fitness=0.82734806629834 ,e1=200 ,e2=0 ,e3=5.58
iterationVoltage no=5, best_conf_fitness=0.84361549497848 ,e1=200 ,e2=0 ,e3=3.7247709768975
iterationVoltage no=6, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=7, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=8, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=9, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=10, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=11, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=12, best_conf_fitness=0.85880640465793 ,e1=200 ,e2=0 ,e3=3.3672648561052
iterationVoltage no=1, best_conf_fitness=0.76293103448276 ,e1=197 ,e2=180 ,e3=35
iterationVoltage no=2, best_conf_fitness=0.77233429394813 ,e1=144.62410046693 ,e2=200 ,e3=0
iterationVoltage no=3, best_conf_fitness=0.79209370424597 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.79209370424597 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.79209370424597 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.80494505494505 ,e1=200 ,e2=200 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.59470752089136 ,e1=155 ,e2=3 ,e3=84
iterationVoltage no=2, best_conf_fitness=0.72779369627507 ,e1=200 ,e2=0 ,e3=76.936500137333
iterationVoltage no=3, best_conf_fitness=0.72779369627507 ,e1=200 ,e2=0 ,e3=76.936500137333
iterationVoltage no=4, best_conf_fitness=0.77115117891817 ,e1=200 ,e2=0 ,e3=31.844716270171
iterationVoltage no=5, best_conf_fitness=0.77115117891817 ,e1=200 ,e2=0 ,e3=31.844716270171
iterationVoltage no=6, best_conf_fitness=0.78813559322034 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.78813559322034 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.80681818181818 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.80681818181818 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.80681818181818 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.80857142857143 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.69306930693069 ,e1=118 ,e2=10 ,e3=3
iterationVoltage no=2, best_conf_fitness=0.81204111600587 ,e1=200 ,e2=86.612848292489 ,e3=0
iterationVoltage no=3, best_conf_fitness=0.81204111600587 ,e1=200 ,e2=86.612848292489 ,e3=0
iterationVoltage no=4, best_conf_fitness=0.81676136363636 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=5, best_conf_fitness=0.81676136363636 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=6, best_conf_fitness=0.81676136363636 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=7, best_conf_fitness=0.82222222222222 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=8, best_conf_fitness=0.82222222222222 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=9, best_conf_fitness=0.82228490832158 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=10, best_conf_fitness=0.82228490832158 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=11, best_conf_fitness=0.82319660537482 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=12, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=13, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=14, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=15, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=16, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=17, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=18, best_conf_fitness=0.84172661870504 ,e1=200 ,e2=0 ,e3=0
iterationVoltage no=1, best_conf_fitness=0.68361581920904 ,e1=134 ,e2=11 ,e3=20
